year,age_group,gold,silver,bronze,total
1896,Under 20,3,1,1,5
1896,20-24,19,10,14,43
1896,25-29,6,5,3,14
1896,30-34,2,5,3,10
1900,Under 20,1,5,4,10
1900,20-24,20,19,15,54
1900,25-29,19,3,13,35
1900,30-34,8,9,7,24
1900,35-39,3,2,0,5
1900,40+,2,1,0,3
1904,Under 20,5,10,4,19
1904,20-24,24,17,23,64
1904,25-29,14,9,14,37
1904,30-34,12,5,4,21
1904,35-39,2,1,3,6
1904,40+,4,3,2,9
1908,Under 20,1,3,8,12
1908,20-24,24,21,17,62
1908,25-29,27,12,20,59
1908,30-34,9,7,2,18
1908,35-39,7,7,5,19
1908,40+,9,3,9,21
1912,Under 20,5,6,5,16
1912,20-24,34,20,26,80
1912,25-29,10,19,20,49
1912,30-34,15,15,10,40
1912,35-39,2,6,3,11
1912,40+,1,2,3,6
1920,Under 20,10,7,4,21
1920,20-24,24,24,25,73
1920,25-29,30,27,26,83
1920,30-34,13,17,14,44
1920,35-39,13,9,7,29
1920,40+,6,7,6,19
1924,Under 20,9,9,8,26
1924,20-24,33,29,38,100
1924,25-29,29,32,33,94
1924,30-34,27,27,10,64
1924,35-39,8,7,13,28
1924,40+,3,4,3,10
1928,Under 20,10,10,8,28
1928,20-24,35,36,33,104
1928,25-29,29,21,33,83
1928,30-34,9,10,12,31
1928,35-39,5,5,5,15
1928,40+,3,2,2,7
1932,Under 20,11,8,6,25
1932,20-24,46,44,36,126
1932,25-29,28,34,40,102
1932,30-34,15,10,8,33
1932,35-39,4,6,3,13
1932,40+,3,2,4,9
1936,Under 20,9,13,6,28
1936,20-24,43,41,48,132
1936,25-29,39,42,42,123
1936,30-34,23,11,10,44
1936,35-39,2,4,3,9
1936,40+,1,3,2,6
1948,Under 20,5,7,9,21
1948,20-24,42,32,39,113
1948,25-29,48,56,51,155
1948,30-34,26,26,15,67
1948,35-39,10,8,11,29
1948,40+,4,4,11,19
1952,Under 20,11,9,6,26
1952,20-24,50,46,63,159
1952,25-29,32,31,39,102
1952,30-34,29,33,17,79
1952,35-39,8,9,8,25
1952,40+,5,8,8,21
1956,Under 20,12,13,9,34
1956,20-24,52,53,54,159
1956,25-29,54,57,51,162
1956,30-34,12,11,17,40
1956,35-39,12,4,17,33
1956,40+,2,4,2,8
1960,Under 20,10,13,16,39
1960,20-24,56,58,49,163
1960,25-29,53,48,61,162
1960,30-34,18,18,14,50
1960,35-39,6,5,8,19
1960,40+,2,3,4,9
1964,Under 20,15,21,13,49
1964,20-24,58,55,67,180
1964,25-29,68,63,57,188
1964,30-34,19,28,24,71
1964,35-39,4,4,7,15
1964,40+,4,1,1,6
1968,Under 20,20,19,30,69
1968,20-24,68,65,64,197
1968,25-29,53,66,54,173
1968,30-34,22,19,21,62
1968,35-39,5,4,8,17
1968,40+,4,2,1,7
1972,Under 20,26,25,28,79
1972,20-24,78,74,75,227
1972,25-29,51,58,78,187
1972,30-34,25,20,25,70
1972,35-39,9,11,4,24
1972,40+,5,3,3,11
1976,Under 20,27,24,21,72
1976,20-24,75,77,77,229
1976,25-29,73,77,87,237
1976,30-34,14,16,27,57
1976,35-39,5,5,5,15
1976,40+,2,1,2,5
1980,Under 20,24,25,26,75
1980,20-24,93,73,86,252
1980,25-29,58,74,78,210
1980,30-34,12,18,14,44
1980,35-39,6,3,9,18
1980,40+,1,0,3,4
1984,Under 20,24,27,20,71
1984,20-24,103,88,121,312
1984,25-29,72,73,69,214
1984,30-34,16,28,24,68
1984,35-39,6,5,2,13
1984,40+,4,1,7,12
1988,Under 20,20,26,24,70
1988,20-24,95,106,109,310
1988,25-29,104,78,99,281
1988,30-34,17,19,23,59
1988,35-39,1,5,4,10
1988,40+,2,5,3,10
1992,Under 20,17,20,22,59
1992,20-24,115,102,131,348
1992,25-29,103,99,112,314
1992,30-34,30,31,29,90
1992,35-39,3,7,4,14
1992,40+,0,4,2,6
1994,Under 20,1,0,7,8
1994,20-24,14,20,22,56
1994,25-29,23,20,14,57
1994,30-34,11,10,6,27
1994,35-39,0,1,4,5
1996,Under 20,11,13,8,32
1996,20-24,81,56,106,243
1996,25-29,105,112,95,312
1996,30-34,30,34,36,100
1996,35-39,8,16,9,33
1996,40+,0,2,0,2
1998,Under 20,3,2,2,7
1998,20-24,15,17,16,48
1998,25-29,25,27,22,74
1998,30-34,13,10,13,36
1998,35-39,0,0,1,1
2000,Under 20,16,24,12,52
2000,20-24,82,78,100,260
2000,25-29,103,105,112,320
2000,30-34,56,35,49,140
2000,35-39,11,15,14,40
2000,40+,4,7,7,18
2002,Under 20,2,1,0,3
2002,20-24,13,13,19,45
2002,25-29,35,32,23,90
2002,30-34,17,15,19,51
2002,35-39,1,4,6,11
2002,40+,1,0,0,1
2004,Under 20,22,22,17,61
2004,20-24,98,80,92,270
2004,25-29,89,102,93,284
2004,30-34,40,42,62,144
2004,35-39,12,17,19,48
2004,40+,7,5,5,17
2006,Under 20,3,1,0,4
2006,20-24,17,20,15,52
2006,25-29,23,23,27,73
2006,30-34,25,23,23,71
2006,35-39,4,5,8,17
2006,40+,1,0,1,2
2008,Under 20,19,13,20,52
2008,20-24,86,78,120,284
2008,25-29,104,114,111,329
2008,30-34,43,41,49,133
2008,35-39,13,18,14,45
2008,40+,4,6,5,15
2010,Under 20,1,0,2,3
2010,20-24,26,19,22,67
2010,25-29,30,30,28,88
2010,30-34,17,24,19,60
2010,35-39,3,2,4,9
2012,Under 20,17,11,18,46
2012,20-24,95,91,96,282
2012,25-29,105,114,137,356
2012,30-34,44,46,56,146
2012,35-39,11,11,9,31
2012,40+,3,2,6,11
2014,Under 20,2,3,3,8
2014,20-24,18,19,19,56
2014,25-29,46,31,40,117
2014,30-34,17,28,20,65
2014,35-39,4,2,4,10
2014,40+,1,2,1,4
2016,Under 20,12,11,9,32
2016,20-24,89,74,110,273
2016,25-29,109,117,128,354
2016,30-34,62,58,59,179
2016,35-39,7,10,11,28
2016,40+,5,9,5,19
2018,Under 20,3,5,3,11
2018,20-24,20,26,22,68
2018,25-29,35,29,39,103
2018,30-34,28,24,23,75
2018,35-39,4,1,2,7
2018,40+,1,0,0,1
2020,Under 20,19,15,15,49
2020,20-24,108,107,121,336
2020,25-29,120,114,153,387
2020,30-34,45,48,61,154
2020,35-39,13,18,13,44
2020,40+,1,6,2,9
2022,Under 20,6,4,1,11
2022,20-24,17,13,14,44
2022,25-29,36,35,39,110
2022,30-34,30,39,37,106
2022,35-39,9,4,3,16
2022,40+,1,1,0,2
